Pair,Similarity
"mark_dups,fastqctrimmed",0.0
"mark_dups,fastQCtrimmed 2",0.0
"mark_dups,run_multiqc",0.0
"mark_dups,starSE",0.5
"mark_dups,trim_fasq_fastqc",0.0
"mark_dups,fastqc 6",0.0
"mark_dups,salmon_index",0.0
"run_star_se,salmonSE",0.0
"run_star_se,run_star_pe",1.0
"run_star_se,rsem_norm",0.0
"run_star_se,sortedbam_to_rmdup",0.3333333333333333
"run_star_se,cutadapt",0.0
"run_star_se,MultiQC",0.0
"run_star_se,sort_index_bams",0.0
"run_star_se,hisat2",0.0
"run_star_se,fetch_unique_stringtie",0.0
"run_star_se,salmon_quant",0.0
"run_star_se,fastp_trimming_PE",0.0
"run_star_se,startPE",0.3333333333333333
"run_star_se,compare_reference_stringtie",0.0
"run_star_se,fastp_trimming_SE",0.0
"run_star_se,sortedbam_to_counts",0.0
"run_star_se,fastqc 3",0.0
"run_star_se,fastqc_trimmed",0.0
"run_star_se,samtools_bam",0.25
"run_star_se,samlon_quant",0.0
"run_star_se,kallistoQuant",0.0
"run_star_se,fastqc 2",0.0
"run_star_se,tastq_to_bam_HISAT",0.25
"run_star_se,merge_trimmed_PE",0.0
"run_star_se,bamindex",0.0
"run_star_se,merge_trimmed_SE",0.0
"run_star_se,salmon_index_extended",0.0
"run_star_se,featureCounts 2",0.0
"run_star_se,tximeta",0.0
"run_star_se,fastqScreen",0.0
"run_star_se,multiqc 2",0.0
"run_star_se,trimgalorePE",0.0
"run_star_se,samtools_flagstat",0.0
"run_star_se,featureCounts",0.0
"run_star_se,counts_matrix",0.0
"run_star_se,trimgaloreSE",0.0
"run_star_se,multiqc 3",0.0
"run_star_se,salmon_quant_pe",0.0
"run_star_se,sort_bams",0.3333333333333333
"run_star_se,edgeR",0.0
"run_star_se,fastqc",0.0
"run_star_se,sampleReads",0.0
"run_star_se,salmon_quant_se",0.0
"run_star_se,feature_counts",0.0
"run_star_se,cutadapt 2",0.0
"run_star_se,DRIMSeq",0.0
"run_star_se,bigwig",0.0
"run_star_se,fastqctrimmed",0.0
"run_star_se,fastQCtrimmed 2",0.0
"run_star_se,run_multiqc",0.0
"run_star_se,starSE",0.3333333333333333
"run_star_se,trim_fasq_fastqc",0.0
"run_star_se,fastqc 6",0.0
"run_star_se,salmon_index",0.0
"salmonSE,run_star_pe",0.0
"salmonSE,rsem_norm",0.0
"salmonSE,sortedbam_to_rmdup",0.0
"salmonSE,cutadapt",0.0
"salmonSE,MultiQC",0.0
"salmonSE,sort_index_bams",0.0
"salmonSE,hisat2",0.0
"salmonSE,fetch_unique_stringtie",0.0
"salmonSE,salmon_quant",1.0
"salmonSE,fastp_trimming_PE",0.0
"salmonSE,startPE",0.0
"salmonSE,compare_reference_stringtie",0.0
"salmonSE,fastp_trimming_SE",0.0
"salmonSE,sortedbam_to_counts",0.0
"salmonSE,fastqc 3",0.0
"salmonSE,fastqc_trimmed",0.0
"salmonSE,samtools_bam",0.0
"salmonSE,samlon_quant",1.0
"salmonSE,kallistoQuant",0.0
"salmonSE,fastqc 2",0.0
"salmonSE,tastq_to_bam_HISAT",0.0
"salmonSE,merge_trimmed_PE",0.0
"salmonSE,bamindex",0.0
"salmonSE,merge_trimmed_SE",0.0
"salmonSE,salmon_index_extended",0.0
"salmonSE,featureCounts 2",0.0
"salmonSE,tximeta",0.0
"salmonSE,fastqScreen",0.0
"salmonSE,multiqc 2",0.0
"salmonSE,trimgalorePE",0.0
"salmonSE,samtools_flagstat",0.0
"salmonSE,featureCounts",0.0
"salmonSE,counts_matrix",0.0
"salmonSE,trimgaloreSE",0.0
"salmonSE,multiqc 3",0.0
"salmonSE,salmon_quant_pe",1.0
"salmonSE,sort_bams",0.0
"salmonSE,edgeR",0.0
"salmonSE,fastqc",0.0
"salmonSE,sampleReads",0.0
"salmonSE,salmon_quant_se",1.0
"salmonSE,feature_counts",0.0
"salmonSE,cutadapt 2",0.0
"salmonSE,DRIMSeq",0.0
"salmonSE,bigwig",0.0
"salmonSE,fastqctrimmed",0.0
"salmonSE,fastQCtrimmed 2",0.0
"salmonSE,run_multiqc",0.0
"salmonSE,starSE",0.0
"salmonSE,trim_fasq_fastqc",0.0
"salmonSE,fastqc 6",0.0
"salmonSE,salmon_index",0.0
"run_star_pe,rsem_norm",0.0
"run_star_pe,sortedbam_to_rmdup",0.3333333333333333
"run_star_pe,cutadapt",0.0
"run_star_pe,MultiQC",0.0
"run_star_pe,sort_index_bams",0.0
"run_star_pe,hisat2",0.0
"run_star_pe,fetch_unique_stringtie",0.0
"run_star_pe,salmon_quant",0.0
"run_star_pe,fastp_trimming_PE",0.0
"run_star_pe,startPE",0.3333333333333333
"run_star_pe,compare_reference_stringtie",0.0
"run_star_pe,fastp_trimming_SE",0.0
"run_star_pe,sortedbam_to_counts",0.0
"run_star_pe,fastqc 3",0.0
"run_star_pe,fastqc_trimmed",0.0
"run_star_pe,samtools_bam",0.25
"run_star_pe,samlon_quant",0.0
"run_star_pe,kallistoQuant",0.0
"run_star_pe,fastqc 2",0.0
"run_star_pe,tastq_to_bam_HISAT",0.25
"run_star_pe,merge_trimmed_PE",0.0
"run_star_pe,bamindex",0.0
"run_star_pe,merge_trimmed_SE",0.0
"run_star_pe,salmon_index_extended",0.0
"run_star_pe,featureCounts 2",0.0
"run_star_pe,tximeta",0.0
"run_star_pe,fastqScreen",0.0
"run_star_pe,multiqc 2",0.0
"run_star_pe,trimgalorePE",0.0
"run_star_pe,samtools_flagstat",0.0
"run_star_pe,featureCounts",0.0
"run_star_pe,counts_matrix",0.0
"run_star_pe,trimgaloreSE",0.0
"run_star_pe,multiqc 3",0.0
"run_star_pe,salmon_quant_pe",0.0
"run_star_pe,sort_bams",0.3333333333333333
"run_star_pe,edgeR",0.0
"run_star_pe,fastqc",0.0
"run_star_pe,sampleReads",0.0
"run_star_pe,salmon_quant_se",0.0
"run_star_pe,feature_counts",0.0
"run_star_pe,cutadapt 2",0.0
"run_star_pe,DRIMSeq",0.0
"run_star_pe,bigwig",0.0
"run_star_pe,fastqctrimmed",0.0
"run_star_pe,fastQCtrimmed 2",0.0
"run_star_pe,run_multiqc",0.0
"run_star_pe,starSE",0.3333333333333333
"run_star_pe,trim_fasq_fastqc",0.0
"run_star_pe,fastqc 6",0.0
"run_star_pe,salmon_index",0.0
"rsem_norm,sortedbam_to_rmdup",0.0
"rsem_norm,cutadapt",0.0
"rsem_norm,MultiQC",0.0
"rsem_norm,sort_index_bams",0.0
"rsem_norm,hisat2",0.0
"rsem_norm,fetch_unique_stringtie",0.0
"rsem_norm,salmon_quant",0.0
"rsem_norm,fastp_trimming_PE",0.0
"rsem_norm,startPE",0.0
"rsem_norm,compare_reference_stringtie",0.0
"rsem_norm,fastp_trimming_SE",0.0
"rsem_norm,sortedbam_to_counts",0.0
"rsem_norm,fastqc 3",0.0
"rsem_norm,fastqc_trimmed",0.0
"rsem_norm,samtools_bam",0.0
"rsem_norm,samlon_quant",0.0
"rsem_norm,kallistoQuant",0.0
"rsem_norm,fastqc 2",0.0
"rsem_norm,tastq_to_bam_HISAT",0.0
"rsem_norm,merge_trimmed_PE",0.0
"rsem_norm,bamindex",0.0
"rsem_norm,merge_trimmed_SE",0.0
"rsem_norm,salmon_index_extended",0.0
"rsem_norm,featureCounts 2",0.0
"rsem_norm,tximeta",0.0
"rsem_norm,fastqScreen",0.0
"rsem_norm,multiqc 2",0.0
"rsem_norm,trimgalorePE",0.0
"rsem_norm,samtools_flagstat",0.0
"rsem_norm,featureCounts",0.0
"rsem_norm,counts_matrix",0.0
"rsem_norm,trimgaloreSE",0.0
"rsem_norm,multiqc 3",0.0
"rsem_norm,salmon_quant_pe",0.0
"rsem_norm,sort_bams",0.0
"rsem_norm,edgeR",0.0
"rsem_norm,fastqc",0.0
"rsem_norm,sampleReads",0.0
"rsem_norm,salmon_quant_se",0.0
"rsem_norm,feature_counts",0.0
"rsem_norm,cutadapt 2",0.0
"rsem_norm,DRIMSeq",0.0
"rsem_norm,bigwig",0.0
"rsem_norm,fastqctrimmed",0.0
"rsem_norm,fastQCtrimmed 2",0.0
"rsem_norm,run_multiqc",0.0
"rsem_norm,starSE",0.0
"rsem_norm,trim_fasq_fastqc",0.0
"rsem_norm,fastqc 6",0.0
"rsem_norm,salmon_index",0.0
"sortedbam_to_rmdup,cutadapt",0.0
"sortedbam_to_rmdup,MultiQC",0.0
"sortedbam_to_rmdup,sort_index_bams",0.0
"sortedbam_to_rmdup,hisat2",0.0
"sortedbam_to_rmdup,fetch_unique_stringtie",0.0
"sortedbam_to_rmdup,salmon_quant",0.0
"sortedbam_to_rmdup,fastp_trimming_PE",0.0
"sortedbam_to_rmdup,startPE",1.0
"sortedbam_to_rmdup,compare_reference_stringtie",0.0
"sortedbam_to_rmdup,fastp_trimming_SE",0.0
"sortedbam_to_rmdup,sortedbam_to_counts",0.0
"sortedbam_to_rmdup,fastqc 3",0.0
"sortedbam_to_rmdup,fastqc_trimmed",0.0
"sortedbam_to_rmdup,samtools_bam",0.5
"sortedbam_to_rmdup,samlon_quant",0.0
"sortedbam_to_rmdup,kallistoQuant",0.0
"sortedbam_to_rmdup,fastqc 2",0.0
"sortedbam_to_rmdup,tastq_to_bam_HISAT",0.5
"sortedbam_to_rmdup,merge_trimmed_PE",0.0
"sortedbam_to_rmdup,bamindex",0.0
"sortedbam_to_rmdup,merge_trimmed_SE",0.0
"sortedbam_to_rmdup,salmon_index_extended",0.0
"sortedbam_to_rmdup,featureCounts 2",0.0
"sortedbam_to_rmdup,tximeta",0.0
"sortedbam_to_rmdup,fastqScreen",0.0
"sortedbam_to_rmdup,multiqc 2",0.0
"sortedbam_to_rmdup,trimgalorePE",0.0
"sortedbam_to_rmdup,samtools_flagstat",0.0
"sortedbam_to_rmdup,featureCounts",0.0
"sortedbam_to_rmdup,counts_matrix",0.0
"sortedbam_to_rmdup,trimgaloreSE",0.0
"sortedbam_to_rmdup,multiqc 3",0.0
"sortedbam_to_rmdup,salmon_quant_pe",0.0
"sortedbam_to_rmdup,sort_bams",1.0
"sortedbam_to_rmdup,edgeR",0.0
"sortedbam_to_rmdup,fastqc",0.0
"sortedbam_to_rmdup,sampleReads",0.0
"sortedbam_to_rmdup,salmon_quant_se",0.0
"sortedbam_to_rmdup,feature_counts",0.0
"sortedbam_to_rmdup,cutadapt 2",0.0
"sortedbam_to_rmdup,DRIMSeq",0.0
"sortedbam_to_rmdup,bigwig",0.0
"sortedbam_to_rmdup,fastqctrimmed",0.0
"sortedbam_to_rmdup,fastQCtrimmed 2",0.0
"sortedbam_to_rmdup,run_multiqc",0.0
"sortedbam_to_rmdup,starSE",1.0
"sortedbam_to_rmdup,trim_fasq_fastqc",0.0
"sortedbam_to_rmdup,fastqc 6",0.0
"sortedbam_to_rmdup,salmon_index",0.0
"cutadapt,MultiQC",0.0
"cutadapt,sort_index_bams",0.0
"cutadapt,hisat2",0.0
"cutadapt,fetch_unique_stringtie",0.0
"cutadapt,salmon_quant",0.0
"cutadapt,fastp_trimming_PE",0.3333333333333333
"cutadapt,startPE",0.0
"cutadapt,compare_reference_stringtie",0.0
"cutadapt,fastp_trimming_SE",0.3333333333333333
"cutadapt,sortedbam_to_counts",0.0
"cutadapt,fastqc 3",0.0
"cutadapt,fastqc_trimmed",0.0
"cutadapt,samtools_bam",0.0
"cutadapt,samlon_quant",0.0
"cutadapt,kallistoQuant",0.0
"cutadapt,fastqc 2",0.0
"cutadapt,tastq_to_bam_HISAT",0.0
"cutadapt,merge_trimmed_PE",1.0
"cutadapt,bamindex",0.0
"cutadapt,merge_trimmed_SE",1.0
"cutadapt,salmon_index_extended",0.0
"cutadapt,featureCounts 2",0.0
"cutadapt,tximeta",0.0
"cutadapt,fastqScreen",0.0
"cutadapt,multiqc 2",0.0
"cutadapt,trimgalorePE",1.0
"cutadapt,samtools_flagstat",0.0
"cutadapt,featureCounts",0.0
"cutadapt,counts_matrix",0.0
"cutadapt,trimgaloreSE",1.0
"cutadapt,multiqc 3",0.0
"cutadapt,salmon_quant_pe",0.0
"cutadapt,sort_bams",0.0
"cutadapt,edgeR",0.0
"cutadapt,fastqc",0.0
"cutadapt,sampleReads",1.0
"cutadapt,salmon_quant_se",0.0
"cutadapt,feature_counts",0.0
"cutadapt,cutadapt 2",0.0
"cutadapt,DRIMSeq",0.0
"cutadapt,bigwig",0.0
"cutadapt,fastqctrimmed",0.0
"cutadapt,fastQCtrimmed 2",0.0
"cutadapt,run_multiqc",0.0
"cutadapt,starSE",0.0
"cutadapt,trim_fasq_fastqc",0.5
"cutadapt,fastqc 6",0.0
"cutadapt,salmon_index",0.0
"MultiQC,sort_index_bams",0.0
"MultiQC,hisat2",0.0
"MultiQC,fetch_unique_stringtie",0.0
"MultiQC,salmon_quant",0.0
"MultiQC,fastp_trimming_PE",0.3333333333333333
"MultiQC,startPE",0.0
"MultiQC,compare_reference_stringtie",0.0
"MultiQC,fastp_trimming_SE",0.3333333333333333
"MultiQC,sortedbam_to_counts",0.0
"MultiQC,fastqc 3",1.0
"MultiQC,fastqc_trimmed",0.5
"MultiQC,samtools_bam",0.0
"MultiQC,samlon_quant",0.0
"MultiQC,kallistoQuant",0.0
"MultiQC,fastqc 2",0.5
"MultiQC,tastq_to_bam_HISAT",0.0
"MultiQC,merge_trimmed_PE",0.0
"MultiQC,bamindex",0.0
"MultiQC,merge_trimmed_SE",0.0
"MultiQC,salmon_index_extended",0.0
"MultiQC,featureCounts 2",0.0
"MultiQC,tximeta",0.0
"MultiQC,fastqScreen",0.0
"MultiQC,multiqc 2",1.0
"MultiQC,trimgalorePE",0.0
"MultiQC,samtools_flagstat",0.0
"MultiQC,featureCounts",0.0
"MultiQC,counts_matrix",0.0
"MultiQC,trimgaloreSE",0.0
"MultiQC,multiqc 3",1.0
"MultiQC,salmon_quant_pe",0.0
"MultiQC,sort_bams",0.0
"MultiQC,edgeR",0.5
"MultiQC,fastqc",0.0
"MultiQC,sampleReads",0.0
"MultiQC,salmon_quant_se",0.0
"MultiQC,feature_counts",0.0
"MultiQC,cutadapt 2",0.0
"MultiQC,DRIMSeq",0.5
"MultiQC,bigwig",0.0
"MultiQC,fastqctrimmed",0.0
"MultiQC,fastQCtrimmed 2",0.5
"MultiQC,run_multiqc",1.0
"MultiQC,starSE",0.0
"MultiQC,trim_fasq_fastqc",0.0
"MultiQC,fastqc 6",0.5
"MultiQC,salmon_index",0.0
"sort_index_bams,hisat2",0.0
"sort_index_bams,fetch_unique_stringtie",0.0
"sort_index_bams,salmon_quant",0.0
"sort_index_bams,fastp_trimming_PE",0.0
"sort_index_bams,startPE",0.0
"sort_index_bams,compare_reference_stringtie",0.0
"sort_index_bams,fastp_trimming_SE",0.0
"sort_index_bams,sortedbam_to_counts",0.0
"sort_index_bams,fastqc 3",0.0
"sort_index_bams,fastqc_trimmed",0.0
"sort_index_bams,samtools_bam",0.0
"sort_index_bams,samlon_quant",0.0
"sort_index_bams,kallistoQuant",0.0
"sort_index_bams,fastqc 2",0.0
"sort_index_bams,tastq_to_bam_HISAT",0.5
"sort_index_bams,merge_trimmed_PE",0.0
"sort_index_bams,bamindex",1.0
"sort_index_bams,merge_trimmed_SE",0.0
"sort_index_bams,salmon_index_extended",0.0
"sort_index_bams,featureCounts 2",0.0
"sort_index_bams,tximeta",0.0
"sort_index_bams,fastqScreen",0.0
"sort_index_bams,multiqc 2",0.0
"sort_index_bams,trimgalorePE",0.0
"sort_index_bams,samtools_flagstat",0.0
"sort_index_bams,featureCounts",0.0
"sort_index_bams,counts_matrix",0.0
"sort_index_bams,trimgaloreSE",0.0
"sort_index_bams,multiqc 3",0.0
"sort_index_bams,salmon_quant_pe",0.0
"sort_index_bams,sort_bams",0.0
"sort_index_bams,edgeR",0.0
"sort_index_bams,fastqc",0.0
"sort_index_bams,sampleReads",0.0
"sort_index_bams,salmon_quant_se",0.0
"sort_index_bams,feature_counts",0.0
"sort_index_bams,cutadapt 2",0.0
"sort_index_bams,DRIMSeq",0.0
"sort_index_bams,bigwig",0.0
"sort_index_bams,fastqctrimmed",0.0
"sort_index_bams,fastQCtrimmed 2",0.0
"sort_index_bams,run_multiqc",0.0
"sort_index_bams,starSE",0.0
"sort_index_bams,trim_fasq_fastqc",0.0
"sort_index_bams,fastqc 6",0.0
"sort_index_bams,salmon_index",0.0
"hisat2,fetch_unique_stringtie",0.0
"hisat2,salmon_quant",0.0
"hisat2,fastp_trimming_PE",0.0
"hisat2,startPE",0.0
"hisat2,compare_reference_stringtie",0.0
"hisat2,fastp_trimming_SE",0.0
"hisat2,sortedbam_to_counts",0.5
"hisat2,fastqc 3",0.0
"hisat2,fastqc_trimmed",0.0
"hisat2,samtools_bam",0.0
"hisat2,samlon_quant",0.0
"hisat2,kallistoQuant",0.0
"hisat2,fastqc 2",0.0
"hisat2,tastq_to_bam_HISAT",0.0
"hisat2,merge_trimmed_PE",0.0
"hisat2,bamindex",0.0
"hisat2,merge_trimmed_SE",0.0
"hisat2,salmon_index_extended",0.0
"hisat2,featureCounts 2",0.3333333333333333
"hisat2,tximeta",0.0
"hisat2,fastqScreen",0.3333333333333333
"hisat2,multiqc 2",0.0
"hisat2,trimgalorePE",0.0
"hisat2,samtools_flagstat",0.0
"hisat2,featureCounts",0.0
"hisat2,counts_matrix",0.5
"hisat2,trimgaloreSE",0.0
"hisat2,multiqc 3",0.0
"hisat2,salmon_quant_pe",0.0
"hisat2,sort_bams",0.0
"hisat2,edgeR",0.0
"hisat2,fastqc",0.0
"hisat2,sampleReads",0.0
"hisat2,salmon_quant_se",0.0
"hisat2,feature_counts",0.5
"hisat2,cutadapt 2",0.5
"hisat2,DRIMSeq",0.0
"hisat2,bigwig",0.0
"hisat2,fastqctrimmed",0.0
"hisat2,fastQCtrimmed 2",0.0
"hisat2,run_multiqc",0.0
"hisat2,starSE",0.0
"hisat2,trim_fasq_fastqc",0.0
"hisat2,fastqc 6",0.0
"hisat2,salmon_index",0.0
"fetch_unique_stringtie,salmon_quant",0.0
"fetch_unique_stringtie,fastp_trimming_PE",0.0
"fetch_unique_stringtie,startPE",0.0
"fetch_unique_stringtie,compare_reference_stringtie",0.0
"fetch_unique_stringtie,fastp_trimming_SE",0.0
"fetch_unique_stringtie,sortedbam_to_counts",0.0
"fetch_unique_stringtie,fastqc 3",0.0
"fetch_unique_stringtie,fastqc_trimmed",0.0
"fetch_unique_stringtie,samtools_bam",0.0
"fetch_unique_stringtie,samlon_quant",0.0
"fetch_unique_stringtie,kallistoQuant",0.0
"fetch_unique_stringtie,fastqc 2",0.0
"fetch_unique_stringtie,tastq_to_bam_HISAT",0.0
"fetch_unique_stringtie,merge_trimmed_PE",0.0
"fetch_unique_stringtie,bamindex",0.0
"fetch_unique_stringtie,merge_trimmed_SE",0.0
"fetch_unique_stringtie,salmon_index_extended",0.0
"fetch_unique_stringtie,featureCounts 2",0.0
"fetch_unique_stringtie,tximeta",0.0
"fetch_unique_stringtie,fastqScreen",0.0
"fetch_unique_stringtie,multiqc 2",0.0
"fetch_unique_stringtie,trimgalorePE",0.0
"fetch_unique_stringtie,samtools_flagstat",0.0
"fetch_unique_stringtie,featureCounts",0.0
"fetch_unique_stringtie,counts_matrix",0.0
"fetch_unique_stringtie,trimgaloreSE",0.0
"fetch_unique_stringtie,multiqc 3",0.0
"fetch_unique_stringtie,salmon_quant_pe",0.0
"fetch_unique_stringtie,sort_bams",0.0
"fetch_unique_stringtie,edgeR",0.0
"fetch_unique_stringtie,fastqc",0.0
"fetch_unique_stringtie,sampleReads",0.0
"fetch_unique_stringtie,salmon_quant_se",0.0
"fetch_unique_stringtie,feature_counts",0.0
"fetch_unique_stringtie,cutadapt 2",0.0
"fetch_unique_stringtie,DRIMSeq",0.0
"fetch_unique_stringtie,bigwig",0.0
"fetch_unique_stringtie,fastqctrimmed",0.0
"fetch_unique_stringtie,fastQCtrimmed 2",0.0
"fetch_unique_stringtie,run_multiqc",0.0
"fetch_unique_stringtie,starSE",0.0
"fetch_unique_stringtie,trim_fasq_fastqc",0.0
"fetch_unique_stringtie,fastqc 6",0.0
"fetch_unique_stringtie,salmon_index",0.0
"salmon_quant,fastp_trimming_PE",0.0
"salmon_quant,startPE",0.0
"salmon_quant,compare_reference_stringtie",0.0
"salmon_quant,fastp_trimming_SE",0.0
"salmon_quant,sortedbam_to_counts",0.0
"salmon_quant,fastqc 3",0.0
"salmon_quant,fastqc_trimmed",0.0
"salmon_quant,samtools_bam",0.0
"salmon_quant,samlon_quant",1.0
"salmon_quant,kallistoQuant",0.0
"salmon_quant,fastqc 2",0.0
"salmon_quant,tastq_to_bam_HISAT",0.0
"salmon_quant,merge_trimmed_PE",0.0
"salmon_quant,bamindex",0.0
"salmon_quant,merge_trimmed_SE",0.0
"salmon_quant,salmon_index_extended",0.0
"salmon_quant,featureCounts 2",0.0
"salmon_quant,tximeta",0.0
"salmon_quant,fastqScreen",0.0
"salmon_quant,multiqc 2",0.0
"salmon_quant,trimgalorePE",0.0
"salmon_quant,samtools_flagstat",0.0
"salmon_quant,featureCounts",0.0
"salmon_quant,counts_matrix",0.0
"salmon_quant,trimgaloreSE",0.0
"salmon_quant,multiqc 3",0.0
"salmon_quant,salmon_quant_pe",1.0
"salmon_quant,sort_bams",0.0
"salmon_quant,edgeR",0.0
"salmon_quant,fastqc",0.0
"salmon_quant,sampleReads",0.0
"salmon_quant,salmon_quant_se",1.0
