Raw_rules_no_white_spaces_levenshtein,Raw_rules_no_white_spaces_cosine,Raw_rules_cosine,Extracted_raw_rules_levenshtein,Conda_no_white_spaces_cosine,Conda_no_white_spaces_levenshtein,Conda_name_before_extension_levenshtein,Conda_name_before_extension_cosine,Conda_raw_levenshtein,Conda_raw_cosine,Rule_name_levenshtein,Rule_name_cosine,Input_number_similarity,Input_type_jaccard,Whole_text_shell_levenshtein,Whole_text_shell_cosine,Output_type_jaccard,Output_number_similarity,Tools_in_shell_jaccard,Shell_tools_description_biotools_levenshtein,Shell_tools_description_biotools_cosine,Shell_tools_description_biotools_no_white_space_levenshtein,Shell_tools_description_biotools_no_white_space_cosine,Shell_tools_description_bioweb_cosine,Shell_tools_description_bioweb_levenshtein,Shell_tools_categories_bioweb_jaccard,Shell_tools_description_bioweb_jaccard,Shell_tools_description_biotools_no_white_space_jaccard,Shell_tools_description_biotools_jaccard,Shell_tools_topics_bioweb_jaccard,Shell_tools_topics_biotools_jaccard,Shell_tools_operations_bioweb_jaccard,Shell_tools_function_biotools_jaccard,ProcessA,ProcessB,Annotation
0.4255952380952381,0.5704964085767827,0.5740041360012459,0.4215591915303176,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.0,0.0,0.5,0.1920374707259953,0.1193192403408916,0.0,1.0,0.0,0.2264957264957264,0.1007983881046946,0.2219451371571073,0.0,0.1003015858817048,0.2264957264957264,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,bamindex,bigwig,D
0.2651072124756335,0.1185692701877497,0.122971058945883,0.2081712062256809,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,1.0,0.0,0.2555555555555555,0.0124155011531471,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bamindex,compare_reference_stringtie,D
0.1854354354354354,0.0807991899112367,0.0837987948278765,0.1348012889366272,0.0,0.0,0.0,0.0,0.0,0.0,0.1538461538461538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bamindex,counts_matrix,D
0.2748538011695907,0.1159805930167416,0.1195569179103827,0.2782101167315175,0.3022491535155691,0.5652173913043479,0.0909090909090909,0.0,0.5652173913043479,0.3026949135394325,0.0,0.0,1.0,0.0,0.2307692307692307,0.0642122006534377,0.0,1.0,0.0,0.1976744186046511,0.0,0.1866666666666666,0.0,0.0,0.1976744186046511,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,bamindex,cutadapt,D
0.1656151419558359,0.0634619244602502,0.0657868895315627,0.1870229007633588,0.1785156808196702,0.125,0.0909090909090909,0.0,0.12,0.1836965543996496,0.0,0.0,0.0,0.0,0.0666666666666666,0.0,0.0,1.0,0.0,0.1976744186046511,0.0,0.1866666666666666,0.0,0.0,0.1976744186046511,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,bamindex,cutadapt 2,D
0.2606007067137809,0.2516306375413709,0.260972222504976,0.2676295666949873,0.0,0.25,0.0,0.0,0.2333333333333332,0.0,0.125,0.0,0.0,0.0,0.1774193548387096,0.0365983319215429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bamindex,drimseq,D
0.2531418312387792,0.2530597762598081,0.2624544168484893,0.2601908065915004,0.0,0.1304347826086956,0.0,0.0,0.1304347826086956,0.0,0.125,0.0,0.0,0.0,0.1753731343283582,0.0358123948549688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bamindex,edger,D
0.2339181286549707,0.1357945093108176,0.1407705914080469,0.2373540856031128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1888888888888888,0.0750550405606256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bamindex,expressbam,SS
0.2012195121951219,0.0578322424233313,0.0599696716391156,0.1561264822134387,0.132022299124279,0.5217391304347826,0.1818181818181817,0.0,0.5217391304347826,0.1314692322545538,0.1428571428571429,0.0,0.0,0.0,0.1659192825112108,0.0419053213332591,0.0,0.0,0.0,0.1860465116279069,0.1080061428959927,0.1533333333333333,0.0998834525300046,0.1084425803387112,0.1860465116279069,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,bamindex,fastp_trimming_pe,D
0.1924528301886792,0.0583278627334129,0.0604906669155741,0.1503355704697986,0.132022299124279,0.5217391304347826,0.1818181818181817,0.0,0.5217391304347826,0.1314692322545538,0.1428571428571429,0.0,0.0,0.0,0.1700680272108843,0.0521084455962404,0.0,0.0,0.0,0.1860465116279069,0.1080061428959927,0.1533333333333333,0.0998834525300046,0.1084425803387112,0.1860465116279069,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,bamindex,fastp_trimming_se,D
